site,area,plot_type,plot_ID,latitude,longitude,easting,northing,measurement_date,time,landscape_position,chamber_type,flux_CO2,flux_CH4,instrument,date,FCO2,FCH4,inundated,standing_water_depth,soil_temp_10_cm,soil_temp_15_cm,soil_temp_20_cm,air_temp,thawdepth,VWC,Ka
CN_MM71,CN_MM71_BGC,BGC,BGC_1,64.85995,-163.70358,561451,7193476,2016-08-03,17:25,upland,Opq,2.464,-0.059,LGR,2016-08-03 17:25:00,2.9568e-05,-7.08e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN_MM71,CN_MM71_BGC,BGC,BGC_1,64.85995,-163.70358,561451,7193476,2016-08-03,17:19,upland,Trns,1.12,-0.16,LGR,2016-08-03 17:19:00,1.344e-05,-1.92e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN_MM71,CN_MM71_BGC,BGC,BGC_10,64.85963,-163.69995,561624,7193444,2016-08-03,15:02,upland,Trns,-0.844,-0.74,LGR,2016-08-03 15:02:00,-1.0128e-05,-8.88e-09,N,0,5.8,NA,NA,16.7,58,29.4,16.9
CN_MM71,CN_MM71_BGC,BGC,BGC_10,64.85963,-163.69995,561624,7193444,2016-08-03,15:12,upland,Opq,1.624,-0.416,LGR,2016-08-03 15:12:00,1.9488e-05,-4.992e-09,N,0,5.8,NA,NA,16.7,58,29.4,16.9
CN_MM71,CN_MM71_BGC,BGC,BGC_11,64.85941,-163.70348,561457,7193416,2016-08-03,14:59,slope,Trns,-0.485,146.418,LGR,2016-08-03 14:59:00,-5.82e-06,1.757016e-06,Y,2,NA,NA,NA,16.7,80,NA,NA
CN_MM71,CN_MM71_BGC,BGC,BGC_11,64.85941,-163.70348,561457,7193416,2016-08-03,15:18,slope,Opq,1.082,139.19,LGR,2016-08-03 15:18:00,1.2984e-05,1.67028e-06,Y,2,NA,NA,NA,16.7,80,NA,NA
CN_MM71,CN_MM71_BGC,BGC,BGC_12,64.85974,-163.69836,561699,7193458,2016-08-03,14:05,lowland,Trns,-0.541,1.145,LGR,2016-08-03 14:05:00,-6.492e-06,1.374e-08,N,0,7,NA,NA,16.7,46,57.8,36.5
CN_MM71,CN_MM71_BGC,BGC,BGC_12,64.85974,-163.69836,561699,7193458,2016-08-03,14:13,lowland,Opq,1.985,1.037,LGR,2016-08-03 14:13:00,2.382e-05,1.2444e-08,N,0,7,NA,NA,16.7,46,57.8,36.5
CN_MM71,CN_MM71_BGC,BGC,BGC_14,64.86012,-163.69757,561736,7193501,2016-08-03,14:25,upland,Opq,3.346,-2.43,LGR,2016-08-03 14:25:00,4.0152e-05,-2.916e-08,N,0,7.2,NA,NA,16.2,79,35,21.2
CN_MM71,CN_MM71_BGC,BGC,BGC_14,64.86012,-163.69757,561736,7193501,2016-08-03,13:54,upland,Trns,1.333,-1.438,LGR,2016-08-03 13:54:00,1.5996e-05,-1.7256e-08,N,0,7.2,NA,NA,16.2,79,35,21.2
CN_MM71,CN_MM71_BGC,BGC,BGC_15,64.85999,-163.69698,561764,7193487,2016-08-03,14:38,upland,Opq,1.123,0.086,LGR,2016-08-03 14:38:00,1.3476e-05,1.032e-09,N,0,5.2,NA,NA,16.2,56,34.4,20.8
CN_MM71,CN_MM71_BGC,BGC,BGC_15,64.85999,-163.69698,561764,7193487,2016-08-03,13:43,upland,Trns,-0.578,0.17,LGR,2016-08-03 13:43:00,-6.936e-06,2.04e-09,N,0,5.2,NA,NA,16.2,56,34.4,20.8
CN_MM71,CN_MM71_BGC,BGC,BGC_16,64.85915,-163.69208,561998,7193398,2016-08-03,18:50,slope,Trns,0.418,0.784,LGR,2016-08-03 18:50:00,5.016e-06,9.408e-09,N,0,10.8,NA,NA,18.3,53,NA,NA
CN_MM71,CN_MM71_BGC,BGC,BGC_16,64.85915,-163.69208,561998,7193398,2016-08-03,18:59,slope,Opq,1.438,0.727,LGR,2016-08-03 18:59:00,1.7256e-05,8.724e-09,N,0,10.8,NA,NA,18.3,53,NA,NA
CN_MM71,CN_MM71_BGC,BGC,BGC_2,64.85983,-163.70351,561455,7193463,2016-08-03,17:07,slope,Opq,2.523,-0.086,LGR,2016-08-03 17:07:00,3.0276e-05,-1.032e-09,N,0,5.2,NA,NA,18.4,37,9.4,5.8
CN_MM71,CN_MM71_BGC,BGC,BGC_2,64.85983,-163.70351,561455,7193463,2016-08-03,16:59,slope,Trns,1.11,0.053,LGR,2016-08-03 16:59:00,1.332e-05,6.36e-10,N,0,5.2,NA,NA,18.4,37,9.4,5.8
CN_MM71,CN_MM71_BGC,BGC,BGC_4,64.85978,-163.69829,561702,7193462,2016-08-03,16:34,upland,Trns,-0.398,20.358,LGR,2016-08-03 16:34:00,-4.776e-06,2.44296e-07,N,0,NA,NA,NA,17.7,80,NA,NA
CN_MM71,CN_MM71_BGC,BGC,BGC_4,64.85978,-163.69829,561702,7193462,2016-08-03,16:41,upland,Opq,0.778,8.075,LGR,2016-08-03 16:41:00,9.336e-06,9.69e-08,N,0,NA,NA,NA,17.7,80,NA,NA
CN_MM71,CN_MM71_BGC,BGC,BGC_5,64.85936,-163.70338,561462,7193410,2016-08-03,16:17,slope,Opq,2.224,-0.686,LGR,2016-08-03 16:17:00,2.6688e-05,-8.232e-09,N,0,7.6,NA,NA,17.3,57,13.3,7.2
CN_MM71,CN_MM71_BGC,BGC,BGC_5,64.85936,-163.70338,561462,7193410,2016-08-03,16:04,slope,Trns,1.116,-0.184,LGR,2016-08-03 16:04:00,1.3392e-05,-2.208e-09,N,0,7.6,NA,NA,17.3,57,13.3,7.2
CN_MM71,CN_MM71_BGC,BGC,BGC_6,64.85941,-163.70335,561464,7193416,2016-08-03,15:59,lowland,Trns,0.703,-0.154,LGR,2016-08-03 15:59:00,8.436e-06,-1.848e-09,Y,6,7.1,NA,NA,17,59,31.3,20.7
CN_MM71,CN_MM71_BGC,BGC,BGC_9,64.85976,-163.70061,561593,7193458,2016-08-03,15:33,upland,Trns,-0.501,-0.311,LGR,2016-08-03 15:33:00,-6.012e-06,-3.732e-09,N,0,4.5,NA,NA,17,56,26.9,14.5
CN_MM71,CN_MM71_BGC,BGC,BGC_9,64.85976,-163.70061,561593,7193458,2016-08-03,15:39,upland,Opq,1.027,0.036,LGR,2016-08-03 15:39:00,1.2324e-05,4.32e-10,N,0,4.5,NA,NA,17,56,26.9,14.5
CN_MM71,CN_MM71_BGC,BGC,BGC_1,64.85995,-163.70358,561451,7193476,2016-08-04,15:07,upland,Trns,-0.27,-0.336,LGR,2016-08-04 15:07:00,-3.24e-06,-4.032e-09,N,0,10.3,NA,NA,20.1,45,30.6,17.9
CN_MM71,CN_MM71_BGC,BGC,BGC_1,64.85995,-163.70358,561451,7193476,2016-08-04,15:11,upland,Opq,1.591,-0.027,LGR,2016-08-04 15:11:00,1.9092e-05,-3.24e-10,N,0,10.3,NA,NA,20.1,45,30.6,17.9
CN_MM71,CN_MM71_BGC,BGC,BGC_10,64.85963,-163.69995,561624,7193444,2016-08-04,16:59,upland,Trns,0.534,-0.823,LGR,2016-08-04 16:59:00,6.408e-06,-9.876e-09,N,0,8.1,NA,NA,6.2,58,64,41.6
CN_MM71,CN_MM71_BGC,BGC,BGC_10,64.85963,-163.69995,561624,7193444,2016-08-04,17:06,upland,Opq,1.569,-0.74,LGR,2016-08-04 17:06:00,1.8828e-05,-8.88e-09,N,0,8.1,NA,NA,6.2,58,64,41.6
CN_MM71,CN_MM71_BGC,BGC,BGC_11,64.85941,-163.70348,561457,7193416,2016-08-04,17:12,slope,Trns,-2.178,177.907,LGR,2016-08-04 17:12:00,-2.6136e-05,2.134884e-06,N,0,12.1,NA,NA,6.2,80,77.7,56.5
CN_MM71,CN_MM71_BGC,BGC,BGC_11,64.85941,-163.70348,561457,7193416,2016-08-04,17:18,slope,Opq,0.839,126.339,LGR,2016-08-04 17:18:00,1.0068e-05,1.516068e-06,N,0,12.1,NA,NA,6.2,80,77.7,56.5
CN_MM71,CN_MM71_BGC,BGC,BGC_12,64.85974,-163.69836,561699,7193458,2016-08-04,17:34,lowland,Opq,1.822,0.864,LGR,2016-08-04 17:34:00,2.1864e-05,1.0368e-08,Y,19,7.9,NA,NA,7.8,46,73.7,51.8
CN_MM71,CN_MM71_BGC,BGC,BGC_13,64.8597,-163.70341,561460,7193448,2016-08-04,17:45,upland,Trns,-1.74,85.875,LGR,2016-08-04 17:45:00,-2.088e-05,1.0305e-06,Y,6,9.6,NA,NA,6.8,80,86.3,67.3
CN_MM71,CN_MM71_BGC,BGC,BGC_13,64.8597,-163.70341,561460,7193448,2016-08-04,17:52,upland,Opq,0.83,52.313,LGR,2016-08-04 17:52:00,9.96e-06,6.27756e-07,Y,6,9.6,NA,NA,6.8,80,86.3,67.3
CN_MM71,CN_MM71_BGC,BGC,BGC_14,64.86012,-163.69757,561736,7193501,2016-08-04,18:18,upland,Trns,1.18,-2.02,LGR,2016-08-04 18:18:00,1.416e-05,-2.424e-08,N,0,6.7,NA,NA,8.2,79,36.6,22.7
CN_MM71,CN_MM71_BGC,BGC,BGC_14,64.86012,-163.69757,561736,7193501,2016-08-04,18:23,upland,Opq,1.107,-1.058,LGR,2016-08-04 18:23:00,1.3284e-05,-1.2696e-08,N,0,6.7,NA,NA,8.2,79,36.6,22.7
CN_MM71,CN_MM71_BGC,BGC,BGC_15,64.85999,-163.69698,561764,7193487,2016-08-04,18:35,upland,Opq,0.688,0.082,LGR,2016-08-04 18:35:00,8.256e-06,9.84e-10,N,0,4.6,NA,NA,8.2,56,65.8,43.3
CN_MM71,CN_MM71_BGC,BGC,BGC_15,64.85999,-163.69698,561764,7193487,2016-08-04,18:30,upland,Trns,-14.883,-69.768,LGR,2016-08-04 18:30:00,-0.000178596,-8.37216e-07,N,0,4.6,NA,NA,8.2,56,65.8,43.3
CN_MM71,CN_MM71_BGC,BGC,BGC_16,64.85915,-163.69208,561998,7193398,2016-08-04,14:02,slope,Trns,-1.669,-5.318,LGR,2016-08-04 14:02:00,-2.0028e-05,-6.3816e-08,N,0,5.8,NA,NA,18.4,53,43.3,27.3
CN_MM71,CN_MM71_BGC,BGC,BGC_16,64.85915,-163.69208,561998,7193398,2016-08-04,14:07,slope,Opq,0.618,0.464,LGR,2016-08-04 14:07:00,7.416e-06,5.568e-09,N,0,5.8,NA,NA,18.4,53,43.3,27.3
CN_MM71,CN_MM71_BGC,BGC,BGC_17,64.85904,-163.69142,562030,7193386,2016-08-04,13:53,lowland,Opq,1.352,0.348,LGR,2016-08-04 13:53:00,1.6224e-05,4.176e-09,N,0,5.7,NA,NA,18.4,56,45.2,28.2
CN_MM71,CN_MM71_BGC,BGC,BGC_17,64.85904,-163.69142,562030,7193386,2016-08-04,13:47,lowland,Trns,-0.484,0.727,LGR,2016-08-04 13:47:00,-5.808e-06,8.724e-09,N,0,5.7,NA,NA,18.4,56,45.2,28.2
CN_MM71,CN_MM71_BGC,BGC,BGC_18,64.85911,-163.69101,562049,7193395,2016-08-04,13:39,upland,Opq,0.855,-0.265,LGR,2016-08-04 13:39:00,1.026e-05,-3.18e-09,N,0,4.7,NA,NA,18.4,54,31.7,18.7
CN_MM71,CN_MM71_BGC,BGC,BGC_19,64.85921,-163.69075,562061,7193406,2016-08-04,13:01,slope,Opq,3.22,-0.244,LGR,2016-08-04 13:01:00,3.864e-05,-2.928e-09,N,0,9.2,NA,NA,18.4,73,52,33.3
CN_MM71,CN_MM71_BGC,BGC,BGC_19,64.85921,-163.69075,562061,7193406,2016-08-04,12:55,slope,Trns,0.882,-0.442,LGR,2016-08-04 12:55:00,1.0584e-05,-5.304e-09,N,0,9.2,NA,NA,18.4,73,52,33.3
CN_MM71,CN_MM71_BGC,BGC,BGC_2,64.85983,-163.70351,561455,7193463,2016-08-04,15:20,slope,Trns,1.545,-0.392,LGR,2016-08-04 15:20:00,1.854e-05,-4.704e-09,N,0,6.8,NA,NA,20.5,37,76.2,54.8
CN_MM71,CN_MM71_BGC,BGC,BGC_2,64.85983,-163.70351,561455,7193463,2016-08-04,15:24,slope,Opq,1.455,-0.183,LGR,2016-08-04 15:24:00,1.746e-05,-2.196e-09,N,0,6.8,NA,NA,20.5,37,76.2,54.8
CN_MM71,CN_MM71_BGC,BGC,BGC_20,64.85937,-163.69061,562067,7193424,2016-08-04,13:17,lowland,Opq,1.594,30.782,LGR,2016-08-04 13:17:00,1.9128e-05,3.69384e-07,Y,7,9.7,NA,NA,18.4,80,80.8,60.3
CN_MM71,CN_MM71_BGC,BGC,BGC_20,64.85937,-163.69061,562067,7193424,2016-08-04,13:09,lowland,Trns,0.169,28.578,LGR,2016-08-04 13:09:00,2.028e-06,3.42936e-07,Y,7,9.7,NA,NA,18.4,80,80.8,60.3
CN_MM71,CN_MM71_BGC,BGC,BGC_3,64.86009,-163.69769,561730,7193497,2016-08-04,15:38,lowland,Opq,0.725,36.551,LGR,2016-08-04 15:38:00,8.7e-06,4.38612e-07,Y,5,7.1,NA,NA,20.5,80,81.5,61.1
CN_MM71,CN_MM71_BGC,BGC,BGC_3,64.86009,-163.69769,561730,7193497,2016-08-04,15:33,lowland,Trns,-0.859,53.348,LGR,2016-08-04 15:33:00,-1.0308e-05,6.40176e-07,Y,5,7.1,NA,NA,20.5,80,81.5,61.1
CN_MM71,CN_MM71_BGC,BGC,BGC_4,64.85978,-163.69829,561702,7193462,2016-08-04,15:57,upland,Opq,0.585,30.953,LGR,2016-08-04 15:57:00,7.02e-06,3.71436e-07,Y,6,7.7,NA,NA,20.5,80,79.7,58.9
CN_MM71,CN_MM71_BGC,BGC,BGC_5,64.85936,-163.70338,561462,7193410,2016-08-04,16:23,slope,Opq,0.708,-0.134,LGR,2016-08-04 16:23:00,8.496e-06,-1.608e-09,N,0,9.3,NA,NA,20.5,57,18.6,9.4
CN_MM71,CN_MM71_BGC,BGC,BGC_5,64.85936,-163.70338,561462,7193410,2016-08-04,16:05,slope,Trns,0.432,-0.235,LGR,2016-08-04 16:05:00,5.184e-06,-2.82e-09,N,0,9.3,NA,NA,20.5,57,18.6,9.4
CN_MM71,CN_MM71_BGC,BGC,BGC_6,64.85941,-163.70335,561464,7193416,2016-08-04,16:28,lowland,Opq,0.362,-0.139,LGR,2016-08-04 16:28:00,4.344e-06,-1.668e-09,N,0,8,NA,NA,20.5,59,57.7,36.5
CN_MM71,CN_MM71_BGC,BGC,BGC_6,64.85941,-163.70335,561464,7193416,2016-08-04,16:13,lowland,Trns,0.382,-0.247,LGR,2016-08-04 16:13:00,4.584e-06,-2.964e-09,N,0,8,NA,NA,20.5,59,57.7,36.5
CN_MM71,CN_MM71_BGC,BGC,BGC_9,64.85976,-163.70061,561593,7193458,2016-08-04,16:46,upland,Opq,0.561,-0.015,LGR,2016-08-04 16:46:00,6.732e-06,-1.8e-10,N,0,8.3,NA,NA,20.3,56,83.4,63.5
CN_MM71,CN_MM71_BGC,BGC,BGC_9,64.85976,-163.70061,561593,7193458,2016-08-04,16:42,upland,Trns,-0.634,-0.344,LGR,2016-08-04 16:42:00,-7.608e-06,-4.128e-09,N,0,8.3,NA,NA,20.3,56,83.4,63.5
CN_MM71,CN_MM71_BGC,BGC,BGC_1,64.85995,-163.70358,561451,7193476,2016-09-14,10:46,upland,Opq,0.301,0.118,LGR,2016-09-14 10:46:00,3.612e-06,1.416e-09,N,0,2.7,NA,NA,3.7,49,8.9,5.5
CN_MM71,CN_MM71_BGC,BGC,BGC_1,64.85995,-163.70358,561451,7193476,2016-09-14,10:46,upland,Trns,-0.24,0.032,LGR,2016-09-14 10:46:00,-2.88e-06,3.84e-10,N,0,2.7,NA,NA,3.7,49,8.9,5.5
CN_MM71,CN_MM71_BGC,BGC,BGC_10,64.85963,-163.69995,561624,7193444,2016-09-14,12:57,upland,Opq,0.856,-1.023,LGR,2016-09-14 12:57:00,1.0272e-05,-1.2276e-08,N,0,2.8,NA,NA,6.2,80,12,6.7
CN_MM71,CN_MM71_BGC,BGC,BGC_10,64.85963,-163.69995,561624,7193444,2016-09-14,12:57,upland,Trns,0.309,-1.67,LGR,2016-09-14 12:57:00,3.708e-06,-2.004e-08,N,0,2.8,NA,NA,6.2,80,12,6.7
CN_MM71,CN_MM71_BGC,BGC,BGC_11,64.85941,-163.70348,561457,7193416,2016-09-14,13:15,slope,Opq,0.702,122.7,LGR,2016-09-14 13:15:00,8.424e-06,1.4724e-06,N,0,4.7,NA,NA,6.2,80,64.1,41.7
CN_MM71,CN_MM71_BGC,BGC,BGC_11,64.85941,-163.70348,561457,7193416,2016-09-14,13:15,slope,Trns,0.515,152.201,LGR,2016-09-14 13:15:00,6.18e-06,1.826412e-06,N,0,4.7,NA,NA,6.2,80,64.1,41.7
CN_MM71,CN_MM71_BGC,BGC,BGC_12,64.85974,-163.69836,561699,7193458,2016-09-14,13:44,lowland,Opq,0.661,2.25,LGR,2016-09-14 13:44:00,7.932e-06,2.7e-08,Y,19,4,NA,NA,7.8,60,45.4,28.3
CN_MM71,CN_MM71_BGC,BGC,BGC_12,64.85974,-163.69836,561699,7193458,2016-09-14,13:44,lowland,Trns,0.255,2.07,LGR,2016-09-14 13:44:00,3.06e-06,2.484e-08,Y,19,4,NA,NA,7.8,60,45.4,28.3
CN_MM71,CN_MM71_BGC,BGC,BGC_13,64.8597,-163.70341,561460,7193448,2016-09-14,14:04,upland,Opq,0.936,177.737,LGR,2016-09-14 14:04:00,1.1232e-05,2.132844e-06,Y,6,4.6,NA,NA,6.8,80,79,58
CN_MM71,CN_MM71_BGC,BGC,BGC_13,64.8597,-163.70341,561460,7193448,2016-09-14,14:04,upland,Trns,-2.356,249.254,LGR,2016-09-14 14:04:00,-2.8272e-05,2.991048e-06,Y,6,4.6,NA,NA,6.8,80,79,58
CN_MM71,CN_MM71_BGC,BGC,BGC_14,64.86012,-163.69757,561736,7193501,2016-09-14,14:25,upland,Trns,0.265,-1.017,LGR,2016-09-14 14:25:00,3.18e-06,-1.2204e-08,N,0,4.2,NA,NA,8.2,73,21.7,11
CN_MM71,CN_MM71_BGC,BGC,BGC_14,64.86012,-163.69757,561736,7193501,2016-09-14,14:25,upland,Opq,0.363,-0.817,LGR,2016-09-14 14:25:00,4.356e-06,-9.804e-09,N,0,4.2,NA,NA,8.2,73,21.7,11
CN_MM71,CN_MM71_BGC,BGC,BGC_15,64.85999,-163.69698,561764,7193487,2016-09-14,14:41,upland,Opq,0.244,0.338,LGR,2016-09-14 14:41:00,2.928e-06,4.056e-09,N,0,3.2,NA,NA,8.2,51,58.9,37.1
CN_MM71,CN_MM71_BGC,BGC,BGC_15,64.85999,-163.69698,561764,7193487,2016-09-14,14:41,upland,Trns,-0.256,0.243,LGR,2016-09-14 14:41:00,-3.072e-06,2.916e-09,N,0,3.2,NA,NA,8.2,51,58.9,37.1
CN_MM71,CN_MM71_BGC,BGC,BGC_2,64.85983,-163.70351,561455,7193463,2016-09-14,11:00,slope,Trns,0.152,1.217,LGR,2016-09-14 11:00:00,1.824e-06,1.4604e-08,N,0,2.6,NA,NA,4.3,54,9.6,5.8
CN_MM71,CN_MM71_BGC,BGC,BGC_2,64.85983,-163.70351,561455,7193463,2016-09-14,11:00,slope,Opq,0.594,1.651,LGR,2016-09-14 11:00:00,7.128e-06,1.9812e-08,N,0,2.6,NA,NA,4.3,54,9.6,5.8
CN_MM71,CN_MM71_BGC,BGC,BGC_20,64.85937,-163.69061,562067,7193424,2016-09-14,15:20,lowland,Opq,1.758,74.444,LGR,2016-09-14 15:20:00,2.1096e-05,8.93328e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN_MM71,CN_MM71_BGC,BGC,BGC_20,64.85937,-163.69061,562067,7193424,2016-09-14,15:20,lowland,Trns,-0.34,66.9,LGR,2016-09-14 15:20:00,-4.08e-06,8.028e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN_MM71,CN_MM71_BGC,BGC,BGC_3,64.86009,-163.69769,561730,7193497,2016-09-14,11:15,lowland,Opq,0.482,39.924,LGR,2016-09-14 11:15:00,5.784e-06,4.79088e-07,N,0,4.8,NA,NA,4.3,80,59.1,37.2
CN_MM71,CN_MM71_BGC,BGC,BGC_3,64.86009,-163.69769,561730,7193497,2016-09-14,11:15,lowland,Trns,0.009,39.983,LGR,2016-09-14 11:15:00,1.08e-07,4.79796e-07,N,0,4.8,NA,NA,4.3,80,59.1,37.2
CN_MM71,CN_MM71_BGC,BGC,BGC_4,64.85978,-163.69829,561702,7193462,2016-09-14,11:35,upland,Opq,0.52,52.536,LGR,2016-09-14 11:35:00,6.24e-06,6.30432e-07,N,0,5.1,NA,NA,5.7,80,61.7,39.4
CN_MM71,CN_MM71_BGC,BGC,BGC_5,64.85936,-163.70338,561462,7193410,2016-09-14,11:53,slope,Trns,0.294,1.82,LGR,2016-09-14 11:53:00,3.528e-06,2.184e-08,N,0,3.7,NA,NA,5.1,66,12.9,7.1
CN_MM71,CN_MM71_BGC,BGC,BGC_5,64.85936,-163.70338,561462,7193410,2016-09-14,11:53,slope,Opq,0.659,2.417,LGR,2016-09-14 11:53:00,7.908e-06,2.9004e-08,N,0,3.7,NA,NA,5.1,66,12.9,7.1
CN_MM71,CN_MM71_BGC,BGC,BGC_6,64.85941,-163.70335,561464,7193416,2016-09-14,12:00,lowland,Trns,0.066,-0.14,LGR,2016-09-14 12:00:00,7.92e-07,-1.68e-09,N,0,4.3,NA,NA,5.6,65,27.9,15.5
CN_MM71,CN_MM71_BGC,BGC,BGC_6,64.85941,-163.70335,561464,7193416,2016-09-14,12:00,lowland,Opq,0.22,-0.108,LGR,2016-09-14 12:00:00,2.64e-06,-1.296e-09,N,0,4.3,NA,NA,5.6,65,27.9,15.5
CN_MM71,CN_MM71_BGC,BGC,BGC_9,64.85976,-163.70061,561593,7193458,2016-09-14,12:36,upland,Opq,0.127,0.976,LGR,2016-09-14 12:36:00,1.524e-06,1.1712e-08,N,0,3.6,NA,NA,7.2,64,19.3,9.7
CN_MM71,CN_MM71_BGC,BGC,BGC_9,64.85976,-163.70061,561593,7193458,2016-09-14,12:36,upland,Trns,0.077,1.418,LGR,2016-09-14 12:36:00,9.24e-07,1.7016e-08,N,0,3.6,NA,NA,7.2,64,19.3,9.7
CN_MM71,CN_MM71_BGC,BGC,BGC_1,64.85995,-163.70358,561451,7193476,2017-06-19,14:34,upland,Opq,1.009,-0.075,LGR,2017-06-19 14:34:00,1.2108e-05,-9e-10,N,0,4.9,NA,0.8,12.4,22,28,10.5
CN_MM71,CN_MM71_BGC,BGC,BGC_1,64.85995,-163.70358,561451,7193476,2017-06-19,14:34,upland,Trns,1.991,20.206,LGR,2017-06-19 14:34:00,2.3892e-05,2.42472e-07,N,0,4.9,NA,0.8,12.4,22,28,10.5
CN_MM71,CN_MM71_BGC,BGC,BGC_10,64.85963,-163.69995,561624,7193444,2017-06-19,16:55,upland,Trns,0.323,-0.812,LGR,2017-06-19 16:55:00,3.876e-06,-9.744e-09,N,0,3,NA,0.6,14.3,30,26.8,14.5
CN_MM71,CN_MM71_BGC,BGC,BGC_10,64.85963,-163.69995,561624,7193444,2017-06-19,16:55,upland,Opq,1.778,-0.647,LGR,2017-06-19 16:55:00,2.1336e-05,-7.764e-09,N,0,3,NA,0.6,14.3,30,26.8,14.5
CN_MM71,CN_MM71_BGC,BGC,BGC_11,64.85941,-163.70348,561457,7193416,2017-06-19,17:11,slope,Trns,-0.927,154.804,LGR,2017-06-19 17:11:00,-1.1124e-05,1.857648e-06,N,0,7.1,NA,3.4,15.4,36,70.4,47.9
CN_MM71,CN_MM71_BGC,BGC,BGC_11,64.85941,-163.70348,561457,7193416,2017-06-19,17:11,slope,Opq,2.186,149.182,LGR,2017-06-19 17:11:00,2.6232e-05,1.790184e-06,N,0,7.1,NA,3.4,15.4,36,70.4,47.9
CN_MM71,CN_MM71_BGC,BGC,BGC_12,64.85974,-163.69836,561699,7193458,2017-06-19,17:49,lowland,Opq,1.456,2.482,LGR,2017-06-19 17:49:00,1.7472e-05,2.9784e-08,N,0,8.2,NA,1.8,15.7,25,37.2,23.2
